Index,Modification,Speaker,Start Time,End Time,Script
1,인식결과,3,22050,24980,다시 한 번 뜨거운 박수 부탁드리겠습니다.
1,수정결과,C,22050,24980,다시 한 번 뜨거운 박수 부탁드리겠습니다.
2,인식결과,3,26880,37290,아까도 말씀드렸듯이 경찰들도 속속 이 앞으로 모이고 있습니다.
2,수정결과,C,26880,37290,아까도 말씀드렸듯이 경찰들도 속속 이 앞으로 모이고 있습니다.
3,인식결과,3,37550,45840,다시 한번 묻겠습니다. 어떠시겠습니까? 남겠습니다.
3,수정결과,C,37550,45840,다시 한번 묻겠습니다. 어떠시겠습니까? 남겠습니다.
4,인식결과,3,45840,53599,경찰이 우리를 막았습니다. 그렇죠 그래서 지켜보겠습니다.
4,수정결과,C,45840,53599,경찰이 우리를 막았습니다. 그렇죠 그래서 지켜보겠습니다.
5,인식결과,3,53599,60580,그래줄 수 있겠습니까? 음향이 새롭게 만들어지고 있어서요. 우리
5,수정결과,C,53599,60580,그래줄 수 있겠습니까? 음향이 새롭게 만들어지고 있어서요. 우리
6,인식결과,3,61869,73449,원래 제가 꾀꼬리 같은 목소리였는데 음향이 좋지 않아가지고
6,수정결과,C,61869,73449,원래 제가 꾀꼬리 같은 목소리였는데 음향이 좋지 않아가지고
7,인식결과,3,73449,82089,목이 세버렸네요. 응원해 주셔서 고맙고요. 혹시 노래 바로 가능합니까?
7,수정결과,C,73449,82089,목이 세버렸네요. 응원해 주셔서 고맙고요. 혹시 노래 바로 가능합니까?
8,인식결과,3,83340,85760,어쩌면 좋을까요?
8,수정결과,C,83340,85760,어쩌면 좋을까요?
9,인식결과,2,112355,117169,열라 열어라 열어라
9,수정결과,B,112355,117169,열라 열어라 열어라
10,인식결과,3,150789,152197,예 잠시만
10,수정결과,C,150789,152197,예 잠시만
11,인식결과,3,154140,157920,열어라 길어라 뭘로 하겠습니까? 여러분
11,수정결과,C,154140,157920,열어라 길터라 뭘로 하겠습니까? 여러분
12,인식결과,3,160240,171400,열어라 열어라 괜찮습니까? 킬터라라고 하시는 분들은 한 번만 양해해 주시고 이따가 킬터라 해보겠습니다. 어떻습니까?
12,수정결과,C,160240,171400,열어라 열어라 괜찮습니까? 길터라라고 하시는 분들은 한 번만 양해해 주시고 이따가 길터라 해보겠습니다. 어떻습니까?
